Date,Open,High,Low,Close,Adj Close,Volume
2023-10-13,130.199997,130.199997,130.199997,130.199997,130.199997,0
2023-10-16,129.940002,129.940002,129.940002,129.940002,129.940002,0
2023-10-17,129.759995,129.759995,129.759995,129.759995,129.759995,0
2023-10-18,128.669998,128.669998,128.669998,128.669998,128.669998,0
2023-10-19,127.040001,127.040001,127.040001,127.040001,127.040001,0
2023-10-20,125.709999,125.709999,125.709999,125.709999,125.709999,0
2023-10-23,125.570000,125.570000,125.570000,125.570000,125.570000,0
2023-10-24,126.680000,126.680000,126.680000,126.680000,126.680000,0
2023-10-25,125.989998,125.989998,125.989998,125.989998,125.989998,0
2023-10-26,125.550003,125.550003,125.550003,125.550003,125.550003,0
2023-10-27,126.949997,126.949997,126.949997,126.949997,126.949997,0
2023-10-30,126.599998,126.599998,126.599998,126.599998,126.599998,0
2023-10-31,125.510002,125.510002,125.510002,125.510002,125.510002,0
2023-11-01,null,null,null,null,null,null
2023-11-02,126.290001,126.290001,126.290001,126.290001,126.290001,0
2023-11-03,126.919998,126.919998,126.919998,126.919998,126.919998,0
2023-11-06,128.080002,128.080002,128.080002,128.080002,128.080002,0
2023-11-07,129.080002,129.080002,129.080002,129.080002,129.080002,0
2023-11-08,null,null,null,null,null,null
2023-11-09,127.599998,127.599998,127.599998,127.599998,127.599998,0
2023-11-10,128.419998,128.419998,128.419998,128.419998,128.419998,0
2023-11-13,128.649994,128.649994,128.649994,128.649994,128.649994,0
2023-11-14,null,null,null,null,null,null
2023-11-15,131.039993,131.039993,131.039993,131.039993,131.039993,0
2023-11-16,130.399994,130.399994,130.399994,130.399994,130.399994,0
2023-11-17,130.589996,130.589996,130.589996,130.589996,130.589996,0
2023-11-20,131.199997,131.199997,131.199997,131.199997,131.199997,0
2023-11-21,131.270004,131.270004,131.270004,131.270004,131.270004,0
2023-11-22,131.529999,131.529999,131.529999,131.529999,131.529999,0
2023-11-23,131.279999,131.279999,131.279999,131.279999,131.279999,0
2023-11-24,130.800003,130.800003,130.800003,130.800003,130.800003,0
2023-11-27,null,null,null,null,null,null
2023-11-28,131.419998,131.419998,131.419998,131.419998,131.419998,0
2023-11-29,132.029999,132.029999,132.029999,132.029999,132.029999,0
2023-11-30,null,null,null,null,null,null
2023-12-01,null,null,null,null,null,null
2023-12-04,133.649994,133.649994,133.649994,133.649994,133.649994,0
2023-12-05,133.179993,133.179993,133.179993,133.179993,133.179993,0
2023-12-06,133.300003,133.300003,133.300003,133.300003,133.300003,0
2023-12-07,133.679993,133.679993,133.679993,133.679993,133.679993,0
2023-12-08,134.630005,134.630005,134.630005,134.630005,134.630005,0
2023-12-11,135.080002,135.080002,135.080002,135.080002,135.080002,0
2023-12-12,135.779999,135.779999,135.779999,135.779999,135.779999,0
2023-12-13,137.529999,137.529999,137.529999,137.529999,137.529999,0
2023-12-14,137.350006,137.350006,137.350006,137.350006,137.350006,0
2023-12-15,139.070007,139.070007,139.070007,139.070007,139.070007,0
2023-12-18,138.539993,138.539993,138.539993,138.539993,138.539993,0
2023-12-19,138.740005,138.740005,138.740005,138.740005,138.740005,0
2023-12-20,137.000000,137.000000,137.000000,137.000000,137.000000,0
2023-12-21,137.940002,137.940002,137.940002,137.940002,137.940002,0
2023-12-22,137.440002,137.440002,137.440002,137.440002,137.440002,0
2023-12-27,137.500000,137.500000,137.500000,137.500000,137.500000,0
2023-12-28,138.149994,138.149994,138.149994,138.149994,138.149994,0
2023-12-29,138.190002,138.190002,138.190002,138.190002,138.190002,0
